variable,posterior mean
fdl_constant,37.33548809
fdl_exponent,0.904986421
fdl_offset,28.22950804
fdl_noise1,26.90486115
fdl_noise2,0.000182597
rdl_constant,18.17371237
rdl_exponent,0.901846553
rdl_offset,29.08270757
rdl_noise1,13.45796647
rdl_noise2,0.000100329
beta_m1,1.425375318
threshold_m1,1.38373996
threshold_m1,1.996187918
threshold_m1,2.932688023
threshold_m1,3.698892432
threshold_m1,4.5860158
threshold_m1,5.412468013
threshold_m1,6.288612842
threshold_m1,8.303081023
threshold_m1,9.631998682
threshold_m1,12.61098875
threshold_m1,13.12900633
u_m1,0.42586796
u_m1,0.510853962
u_m1,0.502890571
u_m1,0.4440636
u_m1,0.75181512
u_m1,0.615332448
u_m1,0.565668225
u_m1,0.500214715
u_m1,0.602978525
u_m1,0.462575272
u_m1,0.641116198
u_m1,0.601116188
u_m1,0.358419425
u_m1,0.570826902
u_m1,0.537538376
u_m1,0.625555315
u_m1,0.523571462
u_m1,0.593756214
u_m1,0.545989541
u_m1,0.501390906
u_m1,0.543825825
u_m1,0.29228925
u_m1,0.55820672
u_m1,0.501390741
u_m1,0.556337376
u_m1,0.497367123
u_m1,0.855387716
u_m1,0.563718187
u_m1,0.239323849
u_m1,0.353096414
u_m1,0.510124149
u_m1,0.730640238
u_m1,0.792520821
u_m1,0.730647758
u_m1,0.565097854
u_m1,0.532578936
u_m1,0.525084
u_m1,0.477569641
u_m1,0.534935444
u_m1,0.547860854
u_m1,0.782285635
u_m1,0.766612882
u_m1,0.670260855
u_m1,0.537616632
u_m1,0.51385765
u_m1,0.803092355
u_m1,0.34477492
u_m1,0.528066908
u_m1,0.498092512
u_m1,0.508022822
u_m1,0.781772916
u_m1,0.543207072
u_m1,0.565115599
u_m1,0.554557661
u_m1,0.511681217
u_m1,0.199816935
u_m1,0.449691335
u_m1,0.545369838
u_m1,0.623235791
u_m1,0.448584439
u_m1,0.528241371
u_m1,0.146900597
u_m1,0.471698803
u_m1,0.554757631
u_m1,0.474489575
u_m1,0.590178432
u_m1,0.524524218
u_m1,0.542606504
u_m1,0.501513491
u_m1,0.774672321
u_m1,0.519458872
u_m1,0.651534141
u_m1,0.769903702
u_m1,0.497083439
u_m1,0.511603792
u_m1,0.525396923
u_m1,0.718986069
u_m1,0.695068656
u_m1,0.70856572
u_m1,0.750986671
u_m1,0.49825772
u_m1,0.587637878
u_m1,0.501546124
u_m1,0.439941507
u_m1,0.332654319
u_m1,0.359517249
u_m1,0.42533833
u_m1,0.593586682
u_m1,0.732494965
u_m1,0.552530246
u_m1,0.63130708
u_m1,0.72494996
u_m1,0.498888964
u_m1,0.735933356
u_m1,0.751106086
u_m1,0.496571859
u_m1,0.498667235
u_m1,0.756393908
u_m1,0.608114467
u_m1,0.501157231
u_m1,0.500455562
u_m1,0.543033145
u_m1,0.447487415
u_m1,0.532545116
u_m1,0.412182093
u_m1,0.55542742
u_m1,0.689719275
u_m1,0.581404874
u_m1,0.50357054
u_m1,0.503803593
u_m1,0.334801346
u_m1,0.689211336
u_m1,0.564645903
u_m1,0.649003446
u_m1,0.588160904
u_m1,0.51935581
u_m1,0.403815768
u_m1,0.38034021
u_m1,0.49979847
u_m1,0.525925794
u_m1,0.593463607
u_m1,0.498156227
u_m1,0.497404637
u_m1,0.525268623
u_m1,0.55848959
u_m1,0.52779764
u_m1,0.443036957
u_m1,0.524547679
u_m1,0.550268138
u_m1,0.449482312
u_m1,0.487661057
u_m1,0.524051623
u_m1,0.723942185
u_m1,0.711425272
u_m1,0.498149395
u_m1,0.476692541
u_m1,0.784818851
u_m1,0.510043071
u_m1,0.13174962
u_m1,0.728717291
u_m1,0.502881327
u_m1,0.652737417
u_m1,0.750530757
u_m1,0.527773092
u_m1,0.45749883
u_m1,0.459046704
u_m1,0.486023432
u_m1,0.484992698
u_m1,0.806210949
u_m1,0.564962288
u_m1,0.529324902
u_m1,0.49764506
u_m1,0.473495444
u_m1,0.612125245
u_m1,0.50137444
u_m1,0.766712436
u_m1,0.54151202
u_m1,0.585936358
u_m1,0.87971564
u_m1,0.811980902
u_m1,0.520907185
u_m1,0.626809876
u_m1,0.497035849
u_m1,0.510784873
u_m1,0.530317427
u_m1,0.533781501
u_m1,0.765332065
u_m1,0.635988434
u_m1,0.496627292
u_m1,0.545417374
u_m1,0.451501001
u_m1,0.447405789
u_m1,0.604513104
u_m1,0.322160529
u_m1,0.768064606
u_m1,0.782458136
u_m1,0.570233817
u_m1,0.386099539
u_m1,0.481107911
u_m1,0.741990273
u_m1,0.395610963
u_m1,0.75734129
u_m1,0.358099367
u_m1,0.503631669
u_m1,0.476246682
u_m1,0.520851438
u_m1,0.768773809
u_m1,0.503528489
u_m1,0.501504274
u_m1,0.5066213
u_m1,0.666483415
u_m1,0.578921571
u_m1,0.721947852
u_m1,0.56106655
u_m1,0.500419588
u_m1,0.536127455
u_m1,0.614417683
u_m1,0.411393418
u_m1,0.616477409
u_m1,0.487119496
u_m1,0.543949622
u_m1,0.709683396
u_m1,0.499851781
u_m1,0.491124997
u_m1,0.126426437
u_m1,0.753529138
u_m1,0.501474293
u_m1,0.547588055
u_m1,0.71649497
u_m1,0.640189241
u_m1,0.54008806
u_m1,0.499037085
u_m1,0.495459015
u_m1,0.480698271
u_m1,0.75954814
u_m1,0.628102298
u_m1,0.466016502
u_m1,0.697663175
u_m1,0.456789394
u_m1,0.324182256
u_m1,0.723621398
u_m1,0.466664343
u_m1,0.542066301
u_m1,0.469347389
u_m1,0.495534221
u_m1,0.551229821
u_m1,0.554982061
u_m1,0.494512378
u_m1,0.802211792
u_m1,0.811023384
u_m1,0.49699569
u_m1,0.640642428
u_m1,0.702365897
u_m1,0.574133623
u_m1,0.536907768
u_m1,0.23990351
u_m1,0.759552183
u_m1,0.427857866
u_m1,0.416840053
u_m1,0.704762402
u_m1,0.440740907
u_m1,0.478659801
u_m1,0.579641226
u_m1,0.538625797
u_m1,0.503213999
u_m1,0.53703075
u_m1,0.59938606
u_m1,0.496908072
u_m1,0.514701038
u_m1,0.512289248
u_m1,0.504715709
u_m1,0.178318454
u_m1,0.501708907
u_m1,0.471083448
u_m1,0.636714545
u_m1,0.439168679
u_m1,0.545020867
u_m1,0.560604065
u_m1,0.594732254
u_m1,0.758268837
u_m1,0.430298772
u_m1,0.694136037
u_m1,0.514996449
u_m1,0.419731572
